Package,LibPath,Version,Priority,Built
abind,/Users/joel/Library/R/3.4/library,1.4-5,NA,3.4.0
arm,/Users/joel/Library/R/3.4/library,1.9-3,NA,3.4.0
assertthat,/Users/joel/Library/R/3.4/library,0.2.0,NA,3.4.0
backports,/Users/joel/Library/R/3.4/library,1.1.2,NA,3.4.3
base64enc,/Users/joel/Library/R/3.4/library,0.1-3,NA,3.4.0
BH,/Users/joel/Library/R/3.4/library,1.65.0-1,NA,3.4.1
bindr,/Users/joel/Library/R/3.4/library,0.1,NA,3.4.0
bindrcpp,/Users/joel/Library/R/3.4/library,0.2,NA,3.4.0
bit,/Users/joel/Library/R/3.4/library,1.1-12,NA,3.4.0
bit64,/Users/joel/Library/R/3.4/library,0.9-7,NA,3.4.0
bitops,/Users/joel/Library/R/3.4/library,1.0-6,NA,3.4.0
blob,/Users/joel/Library/R/3.4/library,1.1.0,NA,3.4.0
blogdown,/Users/joel/Library/R/3.4/library,0.4,NA,3.4.3
bookdown,/Users/joel/Library/R/3.4/library,0.5,NA,3.4.1
broom,/Users/joel/Library/R/3.4/library,0.4.3,NA,3.4.3
callr,/Users/joel/Library/R/3.4/library,2.0.1,NA,3.4.1
caTools,/Users/joel/Library/R/3.4/library,1.17.1,NA,3.4.0
cellranger,/Users/joel/Library/R/3.4/library,1.1.0,NA,3.4.0
chron,/Users/joel/Library/R/3.4/library,2.3-52,NA,3.4.3
classInt,/Users/joel/Library/R/3.4/library,0.1-24,NA,3.4.0
cli,/Users/joel/Library/R/3.4/library,1.0.0,NA,3.4.2
clipr,/Users/joel/Library/R/3.4/library,0.4.0,NA,3.4.2
clisymbols,/Users/joel/Library/R/3.4/library,1.2.0,NA,3.4.0
coda,/Users/joel/Library/R/3.4/library,0.19-1,NA,3.4.0
coefplot,/Users/joel/Library/R/3.4/library,1.2.5,NA,3.4.3
colorspace,/Users/joel/Library/R/3.4/library,1.3-2,NA,3.4.0
crayon,/Users/joel/Library/R/3.4/library,1.3.4,NA,3.4.1
crosstalk,/Users/joel/Library/R/3.4/library,1.0.0,NA,3.4.0
curl,/Users/joel/Library/R/3.4/library,3.1,NA,3.4.3
data.table,/Users/joel/Library/R/3.4/library,1.10.4-3,NA,3.4.2
DBI,/Users/joel/Library/R/3.4/library,0.7-12,NA,3.4.1
dbplyr,/Users/joel/Library/R/3.4/library,1.2.0,NA,3.4.1
debugme,/Users/joel/Library/R/3.4/library,1.1.0,NA,3.4.2
desc,/Users/joel/Library/R/3.4/library,1.1.1,NA,3.4.1
devtools,/Users/joel/Library/R/3.4/library,1.13.4,NA,3.4.1
dichromat,/Users/joel/Library/R/3.4/library,2.0-0,NA,3.4.0
digest,/Users/joel/Library/R/3.4/library,0.6.15,NA,3.4.3
dotwhisker,/Users/joel/Library/R/3.4/library,0.3.0,NA,3.4.1
dplyr,/Users/joel/Library/R/3.4/library,0.7.4,NA,3.4.2
DT,/Users/joel/Library/R/3.4/library,0.2,NA,3.4.0
dygraphs,/Users/joel/Library/R/3.4/library,1.1.1.4,NA,3.4.0
e1071,/Users/joel/Library/R/3.4/library,1.6-8,NA,3.4.0
enc,/Users/joel/Library/R/3.4/library,0.1,NA,3.4.2
evaluate,/Users/joel/Library/R/3.4/library,0.10.1,NA,3.4.1
flexdashboard,/Users/joel/Library/R/3.4/library,0.5.1,NA,3.4.3
forcats,/Users/joel/Library/R/3.4/library,0.2.0,NA,3.4.0
formatR,/Users/joel/Library/R/3.4/library,1.5,NA,3.4.0
formattable,/Users/joel/Library/R/3.4/library,0.2.0.2,NA,3.4.1
fs,/Users/joel/Library/R/3.4/library,1.1.0,NA,3.4.1
gapminder,/Users/joel/Library/R/3.4/library,0.3.0,NA,3.4.2
gdata,/Users/joel/Library/R/3.4/library,2.18.0,NA,3.4.0
gdtools,/Users/joel/Library/R/3.4/library,0.1.6,NA,3.4.1
GGally,/Users/joel/Library/R/3.4/library,1.3.2,NA,3.4.1
ggjoy,/Users/joel/Library/R/3.4/library,0.4.0,NA,3.4.1
ggplot2,/Users/joel/Library/R/3.4/library,2.2.1,NA,3.4.0
ggrepel,/Users/joel/Library/R/3.4/library,0.7.0,NA,3.4.2
ggridges,/Users/joel/Library/R/3.4/library,0.4.1,NA,3.4.1
ggstance,/Users/joel/Library/R/3.4/library,0.3,NA,3.4.0
ggvis,/Users/joel/Library/R/3.4/library,0.4.3,NA,3.4.0
gh,/Users/joel/Library/R/3.4/library,1.0.1,NA,3.4.1
git2r,/Users/joel/Library/R/3.4/library,0.21.0,NA,3.4.3
glue,/Users/joel/Library/R/3.4/library,1.2.0,NA,3.4.2
googlesheets,/Users/joel/Library/R/3.4/library,0.2.2,NA,3.4.0
gridExtra,/Users/joel/Library/R/3.4/library,2.3,NA,3.4.1
gsubfn,/Users/joel/Library/R/3.4/library,0.6-6,NA,3.4.0
gtable,/Users/joel/Library/R/3.4/library,0.2.0,NA,3.4.0
gtools,/Users/joel/Library/R/3.4/library,3.5.0,NA,3.4.0
haven,/Users/joel/Library/R/3.4/library,1.1.1,NA,3.4.3
here,/Users/joel/Library/R/3.4/library,0.1-10,NA,3.4.1
hexbin,/Users/joel/Library/R/3.4/library,1.27.2,NA,3.4.3
highr,/Users/joel/Library/R/3.4/library,0.6,NA,3.4.0
hms,/Users/joel/Library/R/3.4/library,0.4.0,NA,3.4.3
htmltools,/Users/joel/Library/R/3.4/library,0.3.6,NA,3.4.0
htmlwidgets,/Users/joel/Library/R/3.4/library,0.9,NA,3.4.1
httpuv,/Users/joel/Library/R/3.4/library,1.3.5,NA,3.4.1
httr,/Users/joel/Library/R/3.4/library,1.3.1,NA,3.4.1
ini,/Users/joel/Library/R/3.4/library,0.3.0,NA,3.4.2
interplot,/Users/joel/Library/R/3.4/library,0.1.5,NA,3.4.0
jsonlite,/Users/joel/Library/R/3.4/library,1.5,NA,3.4.0
knitr,/Users/joel/Library/R/3.4/library,1.18,NA,3.4.3
labeling,/Users/joel/Library/R/3.4/library,0.3,NA,3.4.0
lazyeval,/Users/joel/Library/R/3.4/library,0.2.1,NA,3.4.2
leaflet,/Users/joel/Library/R/3.4/library,1.1.0,NA,3.4.0
lme4,/Users/joel/Library/R/3.4/library,1.1-15,NA,3.4.3
lubridate,/Users/joel/Library/R/3.4/library,1.7.1,NA,3.4.2
magrittr,/Users/joel/Library/R/3.4/library,1.5,NA,3.4.0
mapdata,/Users/joel/Library/R/3.4/library,2.2-6,NA,3.4.0
mapproj,/Users/joel/Library/R/3.4/library,1.2-5,NA,3.4.0
maps,/Users/joel/Library/R/3.4/library,3.2.0,NA,3.4.0
maptools,/Users/joel/Library/R/3.4/library,0.9-2,NA,3.4.0
margins,/Users/joel/Library/R/3.4/library,0.3.0,NA,3.4.0
markdown,/Users/joel/Library/R/3.4/library,0.8,NA,3.4.0
MASS,/Users/joel/Library/R/3.4/library,7.3-48,recommended,3.4.3
MatrixModels,/Users/joel/Library/R/3.4/library,0.4-1,NA,3.4.0
memoise,/Users/joel/Library/R/3.4/library,1.1.0,NA,3.4.0
mime,/Users/joel/Library/R/3.4/library,0.5,NA,3.4.0
miniUI,/Users/joel/Library/R/3.4/library,0.1.1,NA,3.4.0
minqa,/Users/joel/Library/R/3.4/library,1.2.4,NA,3.4.0
mnormt,/Users/joel/Library/R/3.4/library,1.5-5,NA,3.4.0
modelr,/Users/joel/Library/R/3.4/library,0.1.1,NA,3.4.1
munsell,/Users/joel/Library/R/3.4/library,0.4.3,NA,3.4.0
nloptr,/Users/joel/Library/R/3.4/library,1.0.4,NA,3.4.0
nycflights13,/Users/joel/Library/R/3.4/library,0.2.2,NA,3.4.0
officer,/Users/joel/Library/R/3.4/library,0.2.1,NA,3.4.3
openssl,/Users/joel/Library/R/3.4/library,0.9.9,NA,3.4.2
packrat,/Users/joel/Library/R/3.4/library,0.4.8-1,NA,3.4.0
pander,/Users/joel/Library/R/3.4/library,0.6.1,NA,3.4.1
pillar,/Users/joel/Library/R/3.4/library,1.1.0,NA,3.4.3
pkgconfig,/Users/joel/Library/R/3.4/library,2.0.1,NA,3.4.0
PKI,/Users/joel/Library/R/3.4/library,0.1-5.1,NA,3.4.1
plogr,/Users/joel/Library/R/3.4/library,0.1-1,NA,3.4.0
plotly,/Users/joel/Library/R/3.4/library,4.7.1,NA,3.4.1
plyr,/Users/joel/Library/R/3.4/library,1.8.4,NA,3.4.0
png,/Users/joel/Library/R/3.4/library,0.1-7,NA,3.4.0
praise,/Users/joel/Library/R/3.4/library,1.0.0,NA,3.4.0
prediction,/Users/joel/Library/R/3.4/library,0.2.0,NA,3.4.0
prettyunits,/Users/joel/Library/R/3.4/library,1.0.2,NA,3.4.0
progress,/Users/joel/Library/R/3.4/library,1.1.2,NA,3.4.0
proto,/Users/joel/Library/R/3.4/library,1.0.0,NA,3.4.0
psych,/Users/joel/Library/R/3.4/library,1.7.8,NA,3.4.1
purrr,/Users/joel/Library/R/3.4/library,0.2.4,NA,3.4.2
quantreg,/Users/joel/Library/R/3.4/library,5.34,NA,3.4.2
R.methodsS3,/Users/joel/Library/R/3.4/library,1.7.1,NA,3.4.0
R.oo,/Users/joel/Library/R/3.4/library,1.21.0,NA,3.4.0
R.utils,/Users/joel/Library/R/3.4/library,2.6.0,NA,3.4.2
R6,/Users/joel/Library/R/3.4/library,2.2.2,NA,3.4.0
rappdirs,/Users/joel/Library/R/3.4/library,0.3.1,NA,3.4.0
raster,/Users/joel/Library/R/3.4/library,2.6-7,NA,3.4.2
RColorBrewer,/Users/joel/Library/R/3.4/library,1.1-2,NA,3.4.0
Rcpp,/Users/joel/Library/R/3.4/library,0.12.14,NA,3.4.3
RcppEigen,/Users/joel/Library/R/3.4/library,0.3.3.3.1,NA,3.4.3
RCurl,/Users/joel/Library/R/3.4/library,1.95-4.10,NA,3.4.3
readr,/Users/joel/Library/R/3.4/library,1.1.1,NA,3.4.0
readxl,/Users/joel/Library/R/3.4/library,1.0.0,NA,3.4.0
rematch,/Users/joel/Library/R/3.4/library,1.0.1,NA,3.4.0
rematch2,/Users/joel/Library/R/3.4/library,2.0.1,NA,3.4.1
reprex,/Users/joel/Library/R/3.4/library,0.1.1.9000,NA,3.4.1
repurrrsive,/Users/joel/Library/R/3.4/library,0.1.0,NA,3.4.1
reshape,/Users/joel/Library/R/3.4/library,0.8.7,NA,3.4.1
reshape2,/Users/joel/Library/R/3.4/library,1.4.3,NA,3.4.3
rgdal,/Users/joel/Library/R/3.4/library,1.2-16,NA,3.4.3
rgeos,/Users/joel/Library/R/3.4/library,0.3-26,NA,3.4.2
RJSONIO,/Users/joel/Library/R/3.4/library,1.3-0,NA,3.4.0
rlang,/Users/joel/Library/R/3.4/library,0.1.6,NA,3.4.3
rmarkdown,/Users/joel/Library/R/3.4/library,1.8,NA,3.4.2
rmdexamples,/Users/joel/Library/R/3.4/library,1.0.1,NA,3.4.1
RPostgres,/Users/joel/Library/R/3.4/library,1.0-4,NA,3.4.3
rprojroot,/Users/joel/Library/R/3.4/library,1.3-2,NA,3.4.3
rsconnect,/Users/joel/Library/R/3.4/library,0.8.5,NA,3.4.1
RSQLite,/Users/joel/Library/R/3.4/library,2.0,NA,3.4.0
rstudioapi,/Users/joel/Library/R/3.4/library,0.7,NA,3.4.1
rticles,/Users/joel/Library/R/3.4/library,0.4.1,NA,3.4.0
rvest,/Users/joel/Library/R/3.4/library,0.3.2,NA,3.4.0
rvg,/Users/joel/Library/R/3.4/library,0.1.7,NA,3.4.3
scales,/Users/joel/Library/R/3.4/library,0.5.0,NA,3.4.1
selectr,/Users/joel/Library/R/3.4/library,0.3-1,NA,3.4.0
servr,/Users/joel/Library/R/3.4/library,0.8,NA,3.4.2
sf,/Users/joel/Library/R/3.4/library,0.6-0,NA,3.4.3
shiny,/Users/joel/Library/R/3.4/library,1.0.5,NA,3.4.1
shinythemes,/Users/joel/Library/R/3.4/library,1.1.1,NA,3.4.0
skimr,/Users/joel/Library/R/3.4/library,1.0.1,NA,3.4.3
socviz,/Users/joel/Library/R/3.4/library,0.2.0,NA,3.4.1
sourcetools,/Users/joel/Library/R/3.4/library,0.1.6,NA,3.4.0
sp,/Users/joel/Library/R/3.4/library,1.2-6,NA,3.4.3
SparseM,/Users/joel/Library/R/3.4/library,1.77,NA,3.4.0
sqldf,/Users/joel/Library/R/3.4/library,0.4-11,NA,3.4.1
srvyr,/Users/joel/Library/R/3.4/library,0.2.2,NA,3.4.1
stringi,/Users/joel/Library/R/3.4/library,1.1.6,NA,3.4.2
stringr,/Users/joel/Library/R/3.4/library,1.2.0,NA,3.4.0
styler,/Users/joel/Library/R/3.4/library,1.0.0,NA,3.4.3
survey,/Users/joel/Library/R/3.4/library,3.32-1,NA,3.4.1
TeachingDemos,/Users/joel/Library/R/3.4/library,2.10,NA,3.4.0
testthat,/Users/joel/Library/R/3.4/library,2.0.0,NA,3.4.3
tibble,/Users/joel/Library/R/3.4/library,1.3.4,NA,3.4.1
tidycensus,/Users/joel/Library/R/3.4/library,0.4,NA,3.4.3
tidyr,/Users/joel/Library/R/3.4/library,0.7.2,NA,3.4.2
tidyselect,/Users/joel/Library/R/3.4/library,0.2.3,NA,3.4.2
tidyverse,/Users/joel/Library/R/3.4/library,1.2.1,NA,3.4.2
tigris,/Users/joel/Library/R/3.4/library,0.6.2,NA,3.4.3
udunits2,/Users/joel/Library/R/3.4/library,0.13,NA,3.4.0
units,/Users/joel/Library/R/3.4/library,0.5-1,NA,3.4.3
useful,/Users/joel/Library/R/3.4/library,1.2.3,NA,3.4.0
usethis,/Users/joel/Library/R/3.4/library,1.2.0,NA,3.4.3
utf8,/Users/joel/Library/R/3.4/library,1.1.3,NA,3.4.3
uuid,/Users/joel/Library/R/3.4/library,0.1-2,NA,3.4.0
viridis,/Users/joel/Library/R/3.4/library,0.4.1,NA,3.4.3
viridisLite,/Users/joel/Library/R/3.4/library,0.2.0,NA,3.4.0
whisker,/Users/joel/Library/R/3.4/library,0.3-2,NA,3.4.0
withr,/Users/joel/Library/R/3.4/library,2.1.1,NA,3.4.3
xaringan,/Users/joel/Library/R/3.4/library,0.4,NA,3.4.1
xml2,/Users/joel/Library/R/3.4/library,1.1.1,NA,3.4.0
xtable,/Users/joel/Library/R/3.4/library,1.8-2,NA,3.4.0
xts,/Users/joel/Library/R/3.4/library,0.10-1,NA,3.4.3
yaml,/Users/joel/Library/R/3.4/library,2.1.16,NA,3.4.3
zip,/Users/joel/Library/R/3.4/library,1.0.0,NA,3.4.0
zoo,/Users/joel/Library/R/3.4/library,1.8-1,NA,3.4.3
base,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.4.1,base,3.4.1
boot,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.3-19,recommended,3.4.1
class,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,7.3-14,recommended,3.4.1
cluster,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.0.6,recommended,3.4.1
codetools,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.2-15,recommended,3.4.1
compiler,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.4.1,base,3.4.1
datasets,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.4.1,base,3.4.1
foreign,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.8-69,recommended,3.4.1
graphics,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.4.1,base,3.4.1
grDevices,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.4.1,base,3.4.1
grid,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.4.1,base,3.4.1
KernSmooth,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.23-15,recommended,3.4.1
lattice,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.20-35,recommended,3.4.1
MASS,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,7.3-47,recommended,3.4.1
Matrix,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.2-10,recommended,3.4.1
methods,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.4.1,base,3.4.1
mgcv,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.8-17,recommended,3.4.1
nlme,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.1-131,recommended,3.4.1
nnet,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,7.3-12,recommended,3.4.1
parallel,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.4.1,base,3.4.1
rpart,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,4.1-11,recommended,3.4.1
spatial,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,7.3-11,recommended,3.4.1
splines,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.4.1,base,3.4.1
stats,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.4.1,base,3.4.1
stats4,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.4.1,base,3.4.1
survival,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.41-3,recommended,3.4.1
tcltk,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.4.1,base,3.4.1
tools,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.4.1,base,3.4.1
utils,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.4.1,base,3.4.1
